"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3908","test_login_with_valid_mail_and_invalid_password","tests","Fri May 09 20:14:46 IST 2025","passed","Fri May 09 20:14:50 IST 2025","TestLogin","test_login","",""
"","3134","test_with_mandatory_fields","tests","Fri May 09 20:15:05 IST 2025","passed","Fri May 09 20:15:08 IST 2025","TestRegister","test_register","",""
"","2568","test_with_all_fields","tests","Fri May 09 20:15:14 IST 2025","passed","Fri May 09 20:15:16 IST 2025","TestRegister","test_register","",""
"","3208","test_login_with_empty_credentials","tests","Fri May 09 20:14:55 IST 2025","passed","Fri May 09 20:14:59 IST 2025","TestLogin","test_login","",""
"","653","test_enter_valid_item","tests","Fri May 09 20:15:37 IST 2025","passed","Fri May 09 20:15:38 IST 2025","TestSearch","test_search","",""
"","2693","test_login_valid_credentials","tests","Fri May 09 20:14:27 IST 2025","passed","Fri May 09 20:14:30 IST 2025","TestLogin","test_login","",""
"","4377","test_login_with_invalid_mail_and_valid_password","tests","Fri May 09 20:14:35 IST 2025","passed","Fri May 09 20:14:40 IST 2025","TestLogin","test_login","",""
"","2574","test_with_existing_mail","tests","Fri May 09 20:15:22 IST 2025","passed","Fri May 09 20:15:24 IST 2025","TestRegister","test_register","",""
"","656","test_enter_invalid_item","tests","Fri May 09 20:15:44 IST 2025","passed","Fri May 09 20:15:44 IST 2025","TestSearch","test_search","",""
"","2069","test_with_empty_fields","tests","Fri May 09 20:15:30 IST 2025","passed","Fri May 09 20:15:32 IST 2025","TestRegister","test_register","",""
"","591","test_enter_empty_item","tests","Fri May 09 20:15:50 IST 2025","passed","Fri May 09 20:15:50 IST 2025","TestSearch","test_search","",""
